"nct_id","Study.Status","Interventions","Primary.Outcome.Measures","Secondary.Outcome.Measures","Sponsor","Phases","Start.Date","Primary.Completion.Date"
"NCT05310071","ACTIVE_NOT_RECRUITING","DRUG: Aducanumab|DRUG: Placebo","Change From Baseline in CDR-SB Score at Week 78, The CDR integrates assessments from 3 domains of cognition (memory, orientation, judgment/problem-solving) and 3 domains of function (community affairs, home/hobbies, personal care). Following caregiver interview and systematic participant examination, the rater assigns a score describing the participant's current performance level in each of these domains of life functioning. The ""Sum of boxes"" scoring methodology (CDR-SB) sums the score for each of the 6 domains and provides a value ranging from 0 to 18 with higher scores indicating greater impairment. Positive change from baseline indicates greater impairment., Baseline, Week 78","Change From Baseline in Integrated Alzheimer's Disease Rating Scale (iADRS) Score at Weeks 78 and 106, The iADRS composite captures decline in both cognition and daily function. The iADRS is a simple linear combination of Alzheimer's disease assessment scale, cognitive subscale (ADAS-Cog13) and the Alzheimer's disease cooperative study scale for activities of daily living in mild cognitive impairment (ADCS-ADL-MCI). The iADRS scale ranges from 0-138, higher scores indicating better performance., Baseline, Weeks 78 and 106|Change From Baseline in ADCS-ADL-MCI Score at Weeks 78 and 106, The ADCS-ADL-MCI is a functional evaluation scale for MCI participants, based on information provided by an informant who rates 18 areas of daily living, with total score ranging from 0-53. Higher scores indicate greater independent, healthy functioning. Positive change from baseline indicates healthy functioning., Baseline, Weeks 78 and 106|Change From Baseline in ADAS-Cog13 Score at Weeks 78 and 106, The ADCS-ADAS-Cog13 is a brief objective cognitive assessment of the severity of cognitive symptoms of Alzheimer's disease. The ADAS-Cog13 score ranges from 0 to 85, with higher scores indicating worse performance., Baseline, Weeks 78 and 106|Change From Baseline in Mini-Mental State Examination (MMSE) Score at Weeks 78 and 106, The MMSE is a brief cognitive screening tool that provides clinicians the ability to rapidly assess cognitive ability in less than 10 minutes. The MMSE score ranges from 0-30, with higher scores indicating better performance., Baseline, Weeks 78 and 106|Change From Baseline in Neuropsychiatric Inventory-10 (NPI-10) Score at Weeks 78 and 106, The NPI-10 is a questionnaire administered to the informant, designed to obtain information on the presence of neuropsychiatric symptoms and behaviors in a participant with Alzheimer's disease. Ten areas are assessed: delusions, hallucinations, agitation/aggression, depression, anxiety, elation/euphoria, apathy/indifference, disinhibition, irritability and aberrant motor behavior. The NPI total score ranges from 0 to 120. Higher scores indicates greater impairment., Baseline, Weeks 78 and 106|Change From Baseline in Amyloid Positron Emission Tomography (PET) Signal at Weeks 78 and 104, The cerebral amyloid plaque level was measured by amyloid PET imaging., Baseline, Weeks 78 and 104|Change From Baseline in Tau PET Signal at Weeks 78 and 104, The cerebral tau level was measured by tau PET imaging., Baseline, Weeks 78 and 104|Change From Baseline in CDR-SB Score at Week 106, The CDR integrates assessments from 3 domains of cognition (memory, orientation, judgment/problem-solving) and 3 domains of function (community affairs, home/hobbies, personal care). Following caregiver interview and systematic participant examination, the rater assigns a score describing the participant's current performance level in each of these domains of life functioning. The ""Sum of boxes"" scoring methodology (CDR-SB) sums the score for each of the 6 domains and provides a value ranging from 0 to 18 with higher scores indicating greater impairment. Positive change from baseline indicates greater impairment., Baseline, Week 106|Change From Baseline in Global Statistical Test (GST) Composite Z-Score, The GST is a composite z-score defined as the average of standardized z-scores of the CDR-SB, ADASCog13, and ADCS-ADL-MCI. A positive change from baseline indicates improvement., Baseline, Weeks 78 and 106","Biogen","PHASE3","2022-06-02","2025-12-27"
"NCT05189210","ACTIVE_NOT_RECRUITING","DRUG: GV1001 Placebo|DRUG: GV1001 0.56mg|DRUG: GV1001 1.12mg","Change from baseline in ADAS-Cog11 score at Week 52, The Alzheimer's Disease Assessment Scale (ADAS) consists of 2 parts, a cognitive subscale and a behavioral subscale. The 11-item cognitive subscale (ADAS-cog) of the ADAS instrument will be used in this study. The ADAS-cog11 is a widely accepted performance-based assessment of cognition used in clinical studies for the treatment of participants with AD.
The ADAS-cog11 (score range) consists of word recall (0-10) and word recognition memory tests (0-12), object and finger naming (0-5), commands (0-5), constructional praxis (0-5), ideational praxis (0-5), orientation (0-8), remembering test instructions (0-5), spoken language ability (0-5), comprehension of spoken language (0-5) and word finding difficulty (0-5). The maximum possible total score is 70, with a higher ADAS-cog11 score indicating worse cognitive function., Baseline, Week 12, Week 26, Week 38, and Week 52","Change from baseline in A-IADL-Q score at Week 12, Week 26, Week 38, and Week 52, Assessment of cognitively complex ""instrumental activities of daily living"" (IADLs), such as managing personal finances, using mobile phones, or even doing grocery shopping, is related to quality of life, caregiver burden, and resource utilization and is a relevant area to assess in AD clinical trials. There are various well validated IADL scales, but some are outdated as they do not assess current daily tasks.
The Amsterdam IADL Questionnaire (A-IADL-Q) is an adaptive and computerized questionnaire designed to assess impairments IADL in patients with cognitive decline due to mild dementia. The questionnaire is completed by a caregiver and consists of 70 items in 7 categories (time needed 20-25 minutes)., Baseline, Week 12, Week 26, Week 38, and Week 52|Change from baseline in CDR-SB score at Week 12, Week 26, Week 38, and Week 52, The Clinical Dementia Rating (CDR) is a 5-point global rating scale used to characterize 6 domains of cognitive and functional performance applicable to AD and related dementias: memory, orientation, judgment \& problem solving, community affairs, home \& hobbies, and personal care. The information needed to make each rating is obtained through a semi-structured interview of the participant and a reliable informant or collateral source (eg, family member). The CDR rater should be trained to administer the semi-structured interview and should be blinded to results of other assessments.
For each domain, a rating is assigned to quantify the severity of impairment/dementia (0=no impairment; 0.5=very mild impairment; 1=mild impairment; 2=moderate impairment; and 3=severe impairment). The sum of the ratings for the 6 domains is the Clinical Dementia Rating-Sum of Boxes (CDR-SB) score., Baseline, Week 12, Week 26, Week 38, and Week 52|Clinical worsening, defined as ≥4 points change from baseline in the ADAS-cog11 score at Week 12, Week 26, Week 38, and Week 52, The Alzheimer's Disease Assessment Scale (ADAS) consists of 2 parts, a cognitive subscale and a behavioral subscale. The 11-item cognitive subscale (ADAS-cog) of the ADAS instrument will be used in this study. The ADAS-cog11 is a widely accepted performance-based assessment of cognition used in clinical studies for the treatment of participants with AD.
The ADAS-cog11 (score range) consists of word recall (0-10) and word recognition memory tests (0-12), object and finger naming (0-5), commands (0-5), constructional praxis (0-5), ideational praxis (0-5), orientation (0-8), remembering test instructions (0-5), spoken language ability (0-5), comprehension of spoken language (0-5) and word finding difficulty (0-5). The maximum possible total score is 70, with a higher ADAS-cog11 score indicating worse cognitive function., Baseline, Week 12, Week 26, Week 38, and Week 52|Change from baseline in NPI score at Week 12, Week 26, Week 38, and Week 52, The NPI is a validated informant-based interview that assesses behavioral symptoms of dementia. It covers 12 domains.
The NPI is administered to the participant's caregiver and includes an integrated caregiver distress measure. For each domain, abnormal behavior is noted to be absent (score=0) or present. If present, the frequency (rarely=1, sometimes=2, often=3, and very often=4), severity (mild=1, moderate=2, and severe=3), and associated caregiver distress (0=not at all, 1=minimally, 2=mildly, 3=moderately, 4=severely, and 5=very severely or extremely) are to be rated.
The product of frequency and severity (maxi.=12) is calculated for each domain. A total NPI was the sum of the frequency and severity products (maxi. =144). A higher NPI score indicates a greater degree of behavioral disturbances., Baseline, Week 12, Week 26, Week 38, and Week 52|Change from baseline in MMSE score at Week 12, Week 26, Week 38, and Week 52, The MMSE is a brief test of cognitive function, defined as the sum of 11 items: orientation in time and place, registration, attention and concentration, recall, naming 2 objects, repetition, 3-stage command, reading, writing and copying. Scores range from 0 to 30; higher scores indicate better cognitive function., Baseline, Week 12, Week 26, Week 38, and Week 52|Change from baseline in ADCS-CGIC/CIBIC-Plus score at Week 12, Week 26, Week 38, and Week 52, The CIBIC-Plus is used as a measure of global clinical status. It is an independent, semi-structured medical interview that is used to assess changes in the participant's condition during a clinical study. An independent, experienced, and properly trained rater will provide a global impression of the participant's condition based on separate interviews with the participant and caregiver.
The rater is not to elicit caregiver's opinion of the participant's condition but only factual information about the study participant's functioning.
The change from baseline in CIBIC-Plus is rated on a 7-point scale: 1=markedly improved, 2=moderately improved, 3 = minimally improved, 4=no change, 5=minimally worse, 6=moderately worse, and 7=markedly worse., Baseline, Week 12, Week 26, Week 38, and Week 52|Change from baseline in QoL-AD score at Week 26 and Week 52, The QoL-AD includes the participant's and caregiver's appraisal of the participant's physical condition, mood, interpersonal relationships, ability to participate in meaningful activities, financial situation, and an overall assessment of self as a whole and life quality as a whole. It seems to be reliable and valid for individuals with MMSE scores greater than 10. The measure has 13 items, rated on a 4-point scale (poor, fair, good, excellent), with ""l"" being poor and ""4"" being excellent. Total scores range from 13 to 52. Separate scores are calculated for participant and caregiver reports., Baseline, Week 26, and Week 52","GemVax & Kael","PHASE2","2022-10-05","2025-04-19"
"NCT05478031","TERMINATED","DRUG: REM0046127 High Dose|DRUG: REM0046127 Low Dose|DRUG: Placebo","Adverse Events, Incidence of treatment-emergent adverse events. Number of Adverse Events either related or not related to treatment in the verum arms in comparison to the placebo arm., From first dosing to 7 days after last dose as follow-up. 14 days Run-in + 28 days treament + 7 days Follow-up",NA,"reMYND","PHASE2","2022-06-07","2024-06-04"
"NCT05511363","RECRUITING","DRUG: KarXT|DRUG: Placebo","Time from randomization to relapse during the 38-week study, Week 38","Time from randomization to discontinuation for any reason during the 38-week study, Week 38","Karuna Therapeutics","PHASE3","2022-08-23","2025-03-31"
"NCT05231785","RECRUITING","DRUG: ALN-APP|DRUG: Placebo","Part A: Frequency of Adverse Events, Up to 12 months|Part B: Frequency of Adverse Events, Up to 24 months","Part A and Part B: Change from Baseline in Levels of Cerebrospinal Fluid (CSF) Soluble Amyloid Precursor Protein Alpha (sAPPα) and Soluble Amyloid Precursor Protein Beta (sAPPβ), Part A up to 12 months; Part B up to 24 months|Part A and Part B: Area Under the Plasma Concentration-time Curve (AUC) of ALN-APP and of Potential Metabolites, Part A up to 12 months; Part B up to 24 months|Part A and Part B: Maximum Observed Plasma Concentration (Cmax) of ALN-APP and of Potential Metabolites, Part A up to 12 months; Part B up to 24 months|Part A: Fraction of ALN-APP and Potential Metabolites Excreted in the Urine (fe), Up to 1 day|Part A and Part B: Concentration of ALN-APP and Potential Metabolites at Time 't' (Ct) in Plasma and CSF, Part A up to 12 months; Part B up to 24 months","Alnylam Pharmaceuticals","PHASE1","2022-02-04","2025-07-01"
"NCT05804383","RECRUITING","DRUG: BMS-984923|DRUG: Placebo","Stage 1 and Stage 2 Incidence of treatment-emergent adverse events (TEAEs), Safety, Up to 10 days after last dose|Stage 1 and Stage 2 Incidence of clinically significant lab abnormalities, Safety, Up to 10 days after last dose|Stage 1 Incidence of clinically significant changes in safety assessments, Vital signs, physical exam, electrocardiogram \[ECG\], Neuropsychiatric Inventory-Questionnaire \[NPI Q\], Geriatric Depression Scale \[GDS\], Glasgow Coma Scale \[GCS\], Montreal Cognitive Assessment \[MOCA\]), Up to 10 days after last dose|Stage 2 Incidence of clinically significant changes in safety assessments, Vital signs, physical exam, ECG, NPI Q, GDS, MOCA, and Functional Assessment Questionnaire \[FAQ\]), Up to 10 days after last dose","Stage 1 and Stage 2 Trough plasma drug concentration at steady state, plasma concentration as determined by pharmacokinetic modeling, Up to 10 days after last dose|Stage 1 and Stage 2 Area under the curve for the first 24 hours of dosing (AUC24h) and at steady state as determined by PK modeling, Total plasma concentration as determined by pharmacokinetic modeling, Up to 10 days after last dose|Stage 2 Change from baseline in synaptic density PET, Pharmacodynamics, Up to 24 hours after last dose|Stage 2 Change from baseline in Alzheimer's Disease Assessment Scale-Cognitive subscale 14 Score range of 0-90, with higher scores indicating greater cognitive impairment., Assessment of cognitive impairment., Up to 7 days after the last dose","Allyx Therapeutics","PHASE1","2023-03-28","2025-07-15"
"NCT06511570","RECRUITING","DRUG: sabirnetug (ACU193)|COMBINATION_PRODUCT: Sabirnetug + rHuPH20","Estimate blood levels of sabirnetug (ACU193), Cmax (Maximum concentration, determined directly from individual concentration-time data), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50|Estimate time to reach maximum blood levels of sabirnetug (ACU193), Tmax (Time of the maximum concentration), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50|Estimate blood levels of sabirnetug (ACU193), terminal rate, λz (The observed terminal rate constant; estimated by linear regression through at least three data points in the terminal phase of the log concentration-time profile), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50|Estimate time to reach half-life blood levels of sabirnetug (ACU193), half-life, T1/2 (The observed terminal half-life), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50|Estimate blood levels of sabirnetug (ACU193), concentration-time, AUC168h (Area under the concentration-time curve during a one-week dosing interval), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50|Estimate blood levels of sabirnetug (ACU193), last concentration-time, AUClast (Area under the concentration-time curve from time zero to the time of the last quantifiable concentration; calculated using the linear trapezoidal rule), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50|Estimate blood levels of sabirnetug (ACU193), infinity concentration-time, AUCinf (Area under the concentration-time curve from time zero extrapolated to infinity), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50|Estimate blood levels of sabirnetug (ACU193), extrapolation, AUCExtrap (%)(The percentage of AUCinf based on extrapolation), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50|Estimate blood levels of sabirnetug (ACU193), Clast, Clast (The last quantifiable concentration determined directly from individual concentration-time data), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50|Estimate time to reach last blood levels of sabirnetug (ACU193), Tlast (Time of the last quantifiable concentration), Group 1: Day 1 (predose) up to Day 43 Group 2: Day 1 (predose) up to Day 50",NA,"Acumen Pharmaceuticals","PHASE1","2024-06-25","2024-09-13"
"NCT06151795","COMPLETED","DIAGNOSTIC_TEST: XTR006","Incidence of adverse events., Safety Observation: Number of participants with adverse events and severe adverse events after drug injection., up to 7 days post injection.","XTR006 Whole Body Effective Dose;, Radiation dose estimates measured in millisieverts per megabecquerel (mSv/MBq) for the whole body obtained from Organ Level Internal radiation dosimetry code., up to 5 hours","Sinotau Pharmaceutical Group","PHASE1","2023-06-12","2023-09-27"
"NCT04437511","ACTIVE_NOT_RECRUITING","DRUG: Donanemab|DRUG: Placebo","Change From Baseline on the Integrated Alzheimer's Disease Rating Scale (iADRS) (Overall Population), Integrated Alzheimer's Disease Rating Scale is used to assess whether donanemab slows down the clinical decline associated with AD compared with placebo. iADRS is an integrated assessment of cognition and daily function comprised of items from the ADAS-Cog13 and the Alzheimer's disease cooperative study-instrumental activities of daily living scale (ADCS-iADL). The scale ranges from 0 to 144, where lower scores indicate worse performance and higher score indicates better performance. Least Squares (LS) Mean value was adjusted for basis expansion terms (two terms), basis expansion term-by-treatment interaction, and covariates for age at baseline, pooled investigator, baseline tau level, and baseline acetylcholinesterase inhibitor (AchI)/Memantine use., Baseline, Week 76|Change From Baseline on the Integrated Alzheimer's Disease Rating Scale (iADRS) (Intermediate (Low-medium) Tau Population), Integrated Alzheimer's Disease Rating Scale is used to assess whether donanemab slows down the clinical decline associated with AD compared with placebo. iADRS is an integrated assessment of cognition and daily function comprised of items from the Alzheimer's disease assessment scale-cognitive subscale (ADAS-Cog13) and the Alzheimer's disease cooperative study-instrumental activities of daily living scale (ADCS-iADL). The scale ranges from 0 to 144, where lower scores indicate worse performance and higher score indicates better performance. LS Mean value was adjusted for basis expansion terms (two terms), basis expansion term-by-treatment interaction, and covariates for age at baseline, pooled investigator, and baseline AchI/Memantine use., Baseline, Week 76","Change From Baseline on the Mini Mental State Examination (MMSE) Score (Overall Population), MMSE is an instrument used to assess cognitive function (orientation, memory, attention, ability to name objects, follow verbal/written commands, write a sentence, and copy figures). Total score ranges from 0 to 30; lower score indicates greater disease severity. LS Mean value was adjusted for basis expansion terms (two terms), basis expansion term-by-treatment interaction, and covariates for age at baseline, pooled investigator, baseline tau level, and baseline AchI/Memantine use., Baseline, Week 76|Change From Baseline on the Mini Mental State Examination (MMSE) Score (Intermediate (Low-medium) Tau Population), MMSE is an instrument used to assess cognitive function (orientation, memory, attention, ability to name objects, follow verbal/written commands, write a sentence, and copy figures). Total score ranges from 0 to 30; lower score indicates greater disease severity. LS Mean value was adjusted for basis expansion terms (two terms), basis expansion term-by-treatment interaction, and covariates for age at baseline, pooled investigator, and baseline AchI/Memantine use., Baseline, Week 76|Change From Baseline on the Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog13) (Overall Population), The ADAS-Cog13 is a rater administered instrument that was designed to assess the severity of the dysfunction in the cognitive and noncognitive behaviors characteristic of persons with AD. The cognitive subscale of the ADAS-Cog13 consists of 13 items assessing areas of cognitive function most typically impaired in AD: orientation, verbal memory, language, praxis, delayed free recall, digit cancellation. The ADAS-Cog13 scale ranges from 0 to 85. Higher scores indicate greater disease severity. LS Mean value was adjusted for basis expansion terms (two terms), basis expansion term-by-treatment interaction, and covariates for age at baseline, pooled investigator, baseline tau level, and baseline AchI/Memantine use., Baseline, Week 76|Change From Baseline on the Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog13) (Intermediate (Low-medium) Tau Population), The ADAS is a rater administered instrument that was designed to assess the severity of the dysfunction in the cognitive and noncognitive behaviors characteristic of persons with AD. The cognitive subscale of the ADAS-cog consists of 13 items assessing areas of cognitive function most typically impaired in AD: orientation, verbal memory, language, praxis, delayed free recall, digit cancellation. The ADAS-Cog13 scale ranges from 0 to 85. Higher scores indicate greater disease severity. LS Mean value was adjusted for basis expansion terms (two terms), basis expansion term-by-treatment interaction, and covariates for age at baseline, pooled investigator, and baseline AchI/Memantine use., Baseline, Week 76|Change From Baseline on the Clinical Dementia Rating Scale-Sum of Boxes (CDR-SB) (Overall Population), CDR-SB is a semi-structured interview of participants and their caregivers. Participant's cognitive status is rated across 6 domains of functioning, including memory, orientation, judgment/problem solving, community affairs, home/hobbies, and personal care. Severity score assigned for each of 6 domains; Total score (SB) ranges from 0 to 18. Higher scores indicate greater disease severity. LS Mean value was adjusted for treatment, visit, treatment-by-visit interaction, and covariates for baseline score, baseline score-by-visit interaction, age at baseline, baseline tau category, pooled investigator, and baseline AchI/Memantine use., Baseline, Week 76|Change From Baseline on the Clinical Dementia Rating Scale-Sum of Boxes (CDR-SB) (Intermediate (Low-medium) Tau Population), CDR-SB is a semi-structured interview of participants and their caregivers. Participant's cognitive status is rated across 6 domains of functioning, including memory, orientation, judgment/problem solving, community affairs, home/hobbies, and personal care. Severity score assigned for each of 6 domains; Total score (SB) ranges from 0 to 18. Higher scores indicate greater disease severity. LS Mean value was adjusted for treatment, visit, treatment-by-visit interaction, and covariates for baseline score, baseline score-by-visit interaction, age at baseline, pooled investigator, and baseline AchI/Memantine use., Baseline, Week 76|Change From Baseline on the Alzheimer's Disease Cooperative Study - Instrumental Activities of Daily Living (ADCS-iADL) Score (Overall Population), The ADCS-ADL is a 23-item inventory developed as a rater-administered questionnaire answered by the participant's caregiver. The ADCS-ADL measures both basic and instrumental activities (instrumental activity items 6a, 7-23) of daily living by participants. The range for the ADCS-iADL is 0-59 with higher scores reflecting better performance. LS Mean value was adjusted for basis expansion terms (two terms), basis expansion term-by-treatment interaction, and covariates for age at baseline, pooled investigator, baseline tau level, and baseline AchI/Memantine use., Baseline, Week 76|Change From Baseline on the Alzheimer's Disease Cooperative Study - Instrumental Activities of Daily Living (ADCS-iADL) Score (Intermediate (Low-medium) Tau Population), The ADCS-ADL is a 23-item inventory developed as a rater-administered questionnaire answered by the participant's caregiver. The ADCS-ADL measures both basic and instrumental activities (instrumental activity items 6a, 7-23) of daily living by participants. The range for the ADCS-iADL is 0-59 with higher scores reflecting better performance. LS Mean value was adjusted for basis expansion terms (two terms), basis expansion term-by-treatment interaction, and covariates for age at baseline, pooled investigator, and baseline AchI/Memantine use., Baseline, Week 76|Change From Baseline in Brain Amyloid Plaque Deposition as Measured by Amyloid Positron Emission Tomography (PET) Scan, Amyloid PET scans at baseline and at 76 weeks after the first treatment were used to quantitatively estimate change in amyloid plaques. Quantitative amyloid burden was first formalized as the average Standardized Uptake Value Ratio (SUVR) in six predetermined cortical brain regions relative to the cerebellum as a reference region. Larger SUVR reflects the larger cortical amyloid burden relative to cerebellum. SUVR values were further calibrated to a centiloid (CL) scale. The Centiloid scale anchor points are 0 and 100, where 0 represents a high-certainty amyloid negative scan and 100 represents the amount of global amyloid deposition found in a typical AD scan. LS Mean value was adjusted for treatment, visit, treatment-by-visit interaction, and covariates for baseline score, baseline score-by-visit interaction, baseline tau category, and age at baseline., Baseline, Week 76|Change From Baseline in Brain Tau Deposition as Measured by Flortaucipir F18 PET Scan, Flortaucipir PET imaging was used as a quantitative tau biomarker. Tau PET scans at baseline and at 76 weeks after the first treatment were used to quantitatively estimate change in aggregated tau neurofibrillary tangles (NFTs). Quantitative tau burden was formalized using Standardized Uptake Value Ratio (SUVR) in frontal lobe relative to the cerebellum gray as a reference region. Larger SUVR reflects larger tau burden in the frontal lobe relative to cerebellum gray. LS Mean value was adjusted for baseline score, screening tau category, age and treatment (Type III sum of squares)., Baseline, Week 76|Change From Baseline in Brain Volume as Measured by Volumetric Magnetic Resonance Imaging (vMRI), MRI scans at baseline and at 76 weeks after the first treatment were used to quantitatively estimate change in brain volume. Volumetric MRI parameters were measured in bilateral hippocampus, bilateral whole brain, and bilateral ventricles. LS Mean value was adjusted for treatment, visit, treatment-by-visit interaction, and covariates for baseline score, baseline tau category, and age at baseline., Baseline, Week 76|Pharmacokinetics (PK): Average Serum Concentration at Steady State of Donanemab, The average serum concentration at steady state, calculated as Cav = AUCtau/tau, where tau is the dosing interval (4 weeks). AUCtau/tau was assessed at week 12, 16, 24, 36, 52, 64 and Cav for the dosing interval from week 16 to week 20 is reported., Week 16 to week 20|Number or Participants With Anti-Donanemab Antibodies, Number of participants with treatment-emergent positive Anti-Donanemab antibodies was summarized by treatment group., Baseline through Week 76","Eli Lilly and Company","PHASE3","2020-06-19","2023-04-14"
"NCT04498650","COMPLETED","DRUG: PQ912|DRUG: Placebo","Primary safety: The proportion of participants who experience any Adverse Event (AE), Serious Adverse Event (SAE), Adverse Event of Interest (AE-I), The safety analysis will include the number of subjects with, and the number of any AE, any SAE (both overall and related), AEs leading to discontinuation of treatment, AEs leading to temporary treatment interruption, treatment compliance, the number of subjects with AEs of interest as defined above, the severity, duration and outcome of AEs, 48 weeks|Primary efficacy: within-participant linear change with time of the combinded z-score for cognition compared between active arm and placebo., The within-participant change over time in cognition measured by the combined z-score of the Detection test, Identification test and the 'One Back' test (attention and working memory domains) of the Neurological Test Battery, 48 weeks and EoT (96 weeks at maximum)","Secondary efficacy: The within-participant linear change from baseline to week 48 in quantitative EEG (global relative theta wave power), compared between active and placebo., Using a quantitative EEG the within-participant change from baseline to week 48 of the global relative theta wave power (4-8 Hz) will serve as a primary efficacy outcome., 48 weeks at minimum or until EoT (96 weeks at maximum)|Secondary efficacy: The within-participant linear change with time in overall cognition as measured by the CogState Brief Battery (CBB) Z-score compared between active arm and placebo, he within-participant linear change with time in overall cognition as measured by the CBB (CogState Detection, Identification, One Card Learning and One Back test) -Z-score, 48 weeks and EoT (96 weeks at maximum)","Vivoryon Therapeutics N.V.","PHASE2","2020-07-06","2023-12-18"
"NCT05891496","ACTIVE_NOT_RECRUITING","DRUG: Semaglutide|DRUG: Placebo","Change in gene expression assessed by single-cell ribonucleic acid sequencing (scRNAseq) (cells in cerebrospinal fluid [CSF]), Measured as number of differentially expressed genes., From baseline (week 0) to visit 5 (week 12)|Change in gene expression assessed by scRNAseq (cells in blood), Measured as number of differentially expressed genes., From baseline (week 0) to visit 5 (week 12)","Number of treatment emergent adverse events (TEAEs), Measured as count of events. An adverse event (AE) was defined as any unfavorable and unintended sign (including an abnormal laboratory finding), symptom or disease temporally associated with the use of a product, whether or not considered related to the product. A TEAE is defined as an event for which the onset of the event occurs during the treatment period., From baseline (week 0) to visit 5 (week 12)|Number of treatment emergent adverse events (TEAEs), Measured as count of events. An adverse event (AE) was defined as any unfavorable and unintended sign (including an abnormal laboratory finding), symptom or disease temporally associated with the use of a product, whether or not considered related to the product. A TEAE is defined as an event for which the onset of the event occurs during the treatment period., From baseline (week 0) to end of treatment (week 64)|Weekly average semaglutide concentration (Cavg) based on population pharmacokinetic (PK) analysis, Measured in nanomoles per liter (nmol/L)., From visit 3 (week 4) to end of treatment (week 64)","Novo Nordisk A/S","PHASE3","2023-06-20","2024-08-19"
"NCT05551741","RECRUITING","BIOLOGICAL: IBC-Ab002|OTHER: Placebo","Incidence of subjects with adverse events, serious adverse events, Safety Outcome, 48 weeks|Incidence of subjects with clinically significant changes in hematology parameters, Safety Outcome - complete blood count, white blood cells, red blood cells, platelets, hematocrit, mean corpuscular hemoglobin (MCH), neutrophiles percent, neutrophiles absolute, lymphocytes percent, lymphocytes absolute, monocytes percent, monocytes absolute, eosinophils percent, eosinophils absolute, basophils percent, basophils absolute, mean platelet volume, 48 weeks|Incidence of subjects with clinically significant changes in biochemistry parameters, Safety Outcome - sodium, potassium, calcium, phosphorus, glucose, alanine aminotransferase (ALT), aspartate transaminase (AST), lactate dehydrogenase (LDH), creatine kinase (CK), gamma glutamyl transferase (GGT), alkaline phosphatase (ALP), bilirubin, creatine, albumin, total protein, amylase, total cholesterol, triglycerides, thyroid function tests (T3, T4, TSH), coagulation panel International normalized ratio (INR) and partial thromboplastin time (PTT)., 48 weeks|Incidence of subjects with clinically significant changes in urinalysis parameters, Safety Outcome - protein, nitrates, glucose, specific gravity, ketones, urobilinogen, bilirubin, pH, hemoglobin, 48 weeks|Incidence of subjects with clinically significant changes in vital signs, Safety outcome - weight, heart rate, respiratory rate, body temperature, systolic and diastolic blood pressure, 48 weeks|Incidence of subjects with clinically significant changes in physical examination, Safety Outcome, 48 weeks|Incidence of subjects with clinically significant changes in electrocardiogram (EEG), Safety Outcome, 48 weeks|Incidence of subjects with development of new abnormalities on brain MRI, Safety Outcome - lacunar infarcts, territorial infarct, macroscopic hemorrhage, deep white matter lesions, cerebral contusion, encephalomalacia, infective lesion, aneurysm or vascular malformation, intraparenchymal tumor, meningioma or arachnoid cyst, inflammation, edema, 48 weeks|Incidence of subjects with increased suicidality, Safety Outcome - measured using Columbia Suicidality Rating Scale. Part 1 of the scale (Suicidal Ideation) is comprised of 5 yes/no questions with ""yes"" indicating suicidal ideation and ""no"" indicating no suicidal ideation.
Part 2 of the scale (Intensity of Ideation) is comprised of 5 items which should be rated with respect to the most severe type if ideation (with 5 being the most severe intensity and 1 being the least intensity).
Part 3 of thee scale (Suicidal Behavior) is comprised of 5 yes/no items with ""yes"" indicating suicidal behavior and ""no"" indicating no suicidal behavior.
Part 4 of the scale (Actual Attempts) is comprised of 2 items which should be rated with respect to the most severe outcome of the suicide attempt (with the highest score indicating the most severe outcome and 0 indicating no harm)., 48 weeks","IBC-Ab002 levels in serum., Pharmacokinetic Outcome - Area under the concentration-time curve from time zero to infinity, Area under the concentration-time curve from time zero to the time of the last measurable sample, maximum observed concentration, time to reach maximum observed concentration, terminal elimination half-life, clearance, volume of distribution,, Pre-dose and up to Day 84 post-dose|Number of subjects with positive serum anti-IBC-Ab002 antibodies, Pharmacokinetic Outcome, 48 weeks","Immunobrain Checkpoint","PHASE1","2023-02-23","2025-11-01"
